Frag.ID,Rep1,Rep2,
N30,-0.059975,0.881498333,0.410761667
N184,2.912551667,3.224728333,3.06864
N37,8.582573333,9.345641667,8.9641075
3035,0.51493,0.570068333,0.542499167
N96,3.610743333,3.916778333,3.763760833
3475,2.287161667,2.465591667,2.376376667
436,1.553446667,1.64981,1.601628334
N111,2.175773333,2.484291667,2.3300325
N25,16.56488167,17.72175167,17.14331667
N4,0.727818333,0.730591667,0.729205
N85,0.826801667,0.862143333,0.8444725
N49,25.81238833,27.72963,26.77100917
N11,1.900278333,2.103031667,2.001655
N82,9.427663333,10.05341833,9.740540832
N56,1.752328333,1.842596667,1.7974625
N145,12.36519333,13.99124333,13.17821833
263,1.034416667,1.230586667,1.132501667
249,3.666156667,4.044688333,3.8554225
N172,1.775173333,1.918521667,1.8468475
428,0.053233333,0.058446667,0.05584
785,2.703961667,2.837296667,2.770629167
797,2.200811667,2.542493333,2.3716525
3149,1.431358333,1.2575,1.344429167
616,12.89015333,13.22641,13.05828167
N87,3.005821667,3.232608333,3.119215
N50,11.782445,12.73769,12.2600675
N35,3.024291667,3.240486667,3.132389167
391,2.252003333,2.385231667,2.3186175
N72,13.477975,14.38433,13.9311525
N89,0.677266667,0.595748333,0.6365075
664,2.65303,2.588686667,2.620858334
1240,1.20701,1.368996667,1.288003334
N3,9.279621667,9.628283333,9.4539525
1753,7.140836667,7.854618333,7.4977275
N94,11.31789833,12.31304167,11.81547
1108,8.441301667,8.713381667,8.577341667
74,10.76310167,11.82211667,11.29260917
N38,10.10840333,11.10533,10.60686667
N70,9.321103333,10.11250333,9.716803332
N6,5.786581667,6.50059,6.143585834
N40,1.42258,1.530631667,1.476605834
755,0.893461667,0.944988333,0.919225
N78,16.22403167,17.58888333,16.9064575
N184,1.771745,1.840736667,1.806240834
N109,1.784363333,2.013116667,1.89874
